Event names,Event start times (secs),Event end times (secs),Prominences (zScore),Heights (zScore)
Negative peaks,66365.22477,66365.22477,-5.033536015247367,-1.7807972913917003
Negative peaks,66840.57242,66840.57242,-10.411470327933024,-7.238653543048395
Negative peaks,66932.40208,66932.40208,-5.1713769460899535,-4.149129429809072
Negative peaks,67267.65533,67267.65533,-5.485739255568153,-3.735395500542787
Negative peaks,67301.85398,67301.85398,-6.420238462390808,-4.001349681515097
Negative peaks,67614.84147,67614.84147,-5.524692806524093,-3.6290016611937146
Negative peaks,67701.8713,67701.8713,-8.29270580320544,-5.790949444990327
Negative peaks,67717.604,67717.604,-5.065375895249753,-4.488070940378988
Negative peaks,68479.34019,68479.34019,-5.671544617446164,-3.276727240860928
Negative peaks,68579.76954,68579.76954,-6.8183961075257224,-4.674629430367912
